Tamanho,Tempo,EXE,TOTAL_STALLS,SERIAL_STALLS,BAD_SPEC,FE_BOUND,BE_BOUND,BR_MIS
10,4136,75.392,941.834,140.561,16.1,31.1,22.8,15.7
10,1856,75.166,875.219,143.459,15.7,31.5,23.6,15.4
10,684,75.468,1.001.196,164.847,16.1,30.2,24.7,15.3
10,770,76.224,1.014.256,174.353,16.8,31.3,21.1,16.0
10,734,77.692,1.086.878,177.308,16.0,32.0,22.3,15.2
10,663,73.126,958.218,150.373,16.5,31.8,22.0,15.7
10,695,72.950,917.547,152.025,16.5,30.2,22.7,15.7
10,666,78.330,1.057.719,173.823,16.5,31.4,22.4,15.7
10,672,72.873,924.430,155.125,13.3,38.4,16.1,12.9
10,699,74.889,1.042.772,156.112,16.5,30.2,23.1,15.7
10,753,74.200,935.608,165.148,16.1,30.6,23.5,15.7
10,792,75.651,990.271,160.576,15.3,31.0,25.5,14.9
10,787,75.313,991.066,149.520,16.0,30.5,24.2,15.2
10,773,75.779,986.021,150.395,16.9,31.0,22.0,16.1
10,780,74.988,1.022.773,145.493,15.6,30.9,23.4,14.8
10,801,76.167,1.069.465,169.394,16.5,31.4,21.6,16.1
10,4138,75.398,936.263,140.383,16.5,32.2,22.4,16.1
10,1448,71.935,841.676,143.171,15.7,31.4,24.3,15.3
10,832,75.658,1.018.820,156.397,16.1,31.1,23.2,15.7
10,1551,74.978,888.529,142.076,13.3,40.4,16.1,12.5
10,740,72.850,920.944,158.465,15.6,30.5,23.4,15.2
10,676,75.460,1.005.637,163.731,16.4,30.5,23.0,15.6
10,726,77.601,989.601,152.857,16.1,30.2,23.1,15.3
10,712,74.308,941.583,149.826,16.1,31.0,22.7,15.7
10,957,77.009,963.277,143.485,15.7,31.0,23.9,15.3
10,775,73.394,897.866,150.968,16.1,31.4,23.1,15.3
10,789,76.089,1.010.143,173.622,16.0,32.0,22.3,15.6
10,1689,75.278,870.282,138.394,16.4,31.6,21.9,15.6
10,764,75.238,1.097.515,168.088,14.8,29.3,28.1,14.1
10,788,73.386,997.414,157.092,15.6,29.7,25.4,14.8
10,690,78.541,990.851,163.601,16.1,31.4,23.1,15.7
10,754,75.928,1.018.311,163.698,15.7,31.0,24.3,15.3
10,730,77.033,1.064.799,154.683,16.5,31.9,21.3,16.1
10,773,75.633,1.010.280,171.161,16.1,31.0,22.4,15.7
10,696,76.640,1.056.981,172.940,15.7,30.2,23.9,15.3
10,776,75.937,1.038.963,173.049,16.1,31.0,23.5,15.7
