Tamanho,Exec. Time,No Exec.,Total Stalls,Serial Stalls,Bad Spec,FE Bound,BE Bound,Branch MSP
100000,162211400,54.757.125,728.142.067,396.727.590,5.1,40.8,51.8,5.1
100000,172035093,57.817.219,768.203.846,420.124.170,5.1,40.8,51.8,5.1
100000,172164040,57.940.809,769.067.136,420.593.997,5.1,40.6,52.0,5.1
100000,172282213,57.846.900,769.288.637,420.653.750,5.1,40.6,52.0,5.1
100000,168551105,56.646.551,752.714.124,411.417.635,5.1,40.8,51.8,5.1
100000,168430272,56.462.756,752.604.130,411.498.760,5.1,40.8,51.8,5.1
100000,173027006,58.047.446,772.480.964,423.208.307,5.1,40.6,52.0,5.1
100000,172841841,57.775.381,771.591.885,422.526.551,5.1,40.6,52.0,5.1
100000,164794783,55.726.952,742.056.825,406.004.815,5.1,40.6,52.0,5.1
100000,173033880,58.127.159,773.772.904,423.700.906,5.1,40.4,52.2,5.1
100000,173456469,58.192.412,773.860.964,423.807.640,5.1,40.6,52.0,5.1
100000,177009947,60.074.212,789.410.542,430.636.093,5.1,40.6,52.0,5.1
100000,192188426,64.518.408,859.280.499,472.045.935,5.1,40.4,52.2,5.1
100000,192352996,64.476.546,858.957.722,471.941.824,5.1,40.4,52.2,5.1
100000,179151804,60.174.546,801.651.791,439.383.605,5.1,40.4,52.2,5.1
100000,179797212,60.124.318,802.236.077,439.922.726,5.1,40.4,52.2,5.1
100000,167036692,56.061.730,745.332.447,406.906.352,5.1,40.8,51.8,5.1
100000,161629959,53.450.417,721.134.369,393.493.841,5.1,40.6,52.0,5.1
100000,167170340,56.030.086,746.442.539,407.536.630,5.1,40.6,52.0,5.1
100000,170580626,57.451.204,762.536.654,416.813.406,5.1,40.6,52.0,5.1
100000,171995786,57.358.518,765.779.269,418.709.328,5.1,40.6,52.0,5.1
100000,170657324,57.475.342,763.283.790,417.293.540,5.1,40.8,51.8,5.1
100000,167659241,56.147.268,746.513.789,407.839.189,5.1,40.8,51.8,5.1
100000,167194607,56.123.400,746.512.896,407.826.993,5.5,42.2,50.0,5.5
100000,167910367,56.457.976,749.516.638,409.187.554,5.4,40.5,51.8,5.4
100000,167876159,56.505.646,749.441.004,409.308.187,5.1,40.8,51.8,5.1
100000,167870204,56.392.830,749.023.556,409.026.032,5.5,42.6,49.6,5.5
100000,174068076,58.452.336,778.034.163,425.238.626,5.1,40.6,52.0,5.1
100000,174101824,58.598.124,777.462.915,424.999.061,5.1,40.8,51.8,5.1
100000,172741721,58.020.553,771.462.986,422.075.517,5.1,41.0,51.6,5.1
100000,172654366,57.967.464,770.833.877,421.572.103,5.1,40.8,51.8,5.1
100000,172636737,58.000.328,770.621.211,421.591.547,5.1,40.6,52.0,5.1
100000,170102253,57.015.736,759.301.184,415.485.269,5.5,41.6,50.6,5.5
100000,170197761,57.141.698,760.040.473,415.795.674,5.1,40.8,51.8,5.1
